Type Of Applicant,No,Sex,Percentage,Specialization,No,Degree,No,HowDidYouHear,No,EnglishLvl,No,Age,No,ExpectGradDate,No,City,No,University,No,Faculty,No
Non-Unique,,Male,,spec1,,deg1,,hear1,,eng1,3,age1,,2015,0,Alexandria,0,october,0,other,0
Unique,,Female,,speci2,,deg2,,hear2,,eng2,3,age2,,2016,17,Assiut,0,ahram,0,agriculture ,0
,,,,unfinished...,,unfinshed..,,soon...,,soon...,3,soon...,,2017,9,Banha,0,cairo,0,arts ,0
,,,,,,,,,,,3,,,2018,4,Beni,0,shams,0,commerce ,0
,,,,,,,,,,,3,,,2019,0,Cairo,0,azhar,0,computer ,0
,,,,,,,,,,,3,,,2020,0,Damanhour,0,american,0,education ,0
,,,,,,,,,,,3,,,,,Damietta,0,arab,0,dentistry ,0
,,,,,,,,,,,3,,,,,Fayoum,0,aswan,0,languages ,0
,,,,,,,,,,,3,,,,,Giza,0,assiut,0,law ,0
,,,,,,,,,,,3,,,,,Ismailia,0,alexandria,0,medicine ,0
,,,,,,,,,,,3,,,,,Kafrelsheikh,0,banha,0,nursing ,0
,,,,,,,,,,,3,,,,,Mansoura,0,beni,0,pharmacy ,0
,,,,,,,,,,,3,,,,,Minia,0,british,0,engineering ,0
,,,,,,,,,,,3,,,,,Minufya,0,canadian,0,science ,0
,,,,,,,,,,,3,,,,,Port,0,damanhour,0,specific,0
,,,,,,,,,,,3,,,,,Sohag,0,damietta,0,,
,,,,,,,,,,,3,,,,,South,0,delta,0,,
,,,,,,,,,,,3,,,,,Suaz,0,japan,0,,
,,,,,,,,,,,3,,,,,Tanta,0,fayoum,0,,
,,,,,,,,,,,3,,,,,Zagazig,0,german,0,,
,,,,,,,,,,,3,,,,,,,helwan,0,,
,,,,,,,,,,,3,,,,,,,kafrelsheikh,0,,
,,,,,,,,,,,3,,,,,,,mansoura,0,,
,,,,,,,,,,,3,,,,,,,minia,0,,
,,,,,,,,,,,3,,,,,,,minufya,0,,
,,,,,,,,,,,3,,,,,,,miu,0,,
,,,,,,,,,,,3,,,,,,,must,0,,
,,,,,,,,,,,3,,,,,,,modern,0,,
,,,,,,,,,,,3,,,,,,,nile,0,,
,,,,,,,,,,,3,,,,,,,port,0,,
,,,,,,,,,,,3,,,,,,,sohag,0,,
,,,,,,,,,,,3,,,,,,,south,0,,
,,,,,,,,,,,3,,,,,,,stem,0,,
,,,,,,,,,,,3,,,,,,,suez,0,,
,,,,,,,,,,,3,,,,,,,canal,0,,
,,,,,,,,,,,3,,,,,,,tanta,0,,
,,,,,,,,,,,3,,,,,,,francaise,0,,
,,,,,,,,,,,3,,,,,,,sadat,0,,
,,,,,,,,,,,3,,,,,,,zewail,0,,
,,,,,,,,,,,3,,,,,,,zagazig,0,,
